Xt,Lemda
0.112963233,0.002030176
0.113533018,0.002048518
0.113578622,0.00209072
0.114081764,0.00209706
0.114094211,0.002115659
0.114498707,0.00211951
0.115872451,0.002149704
0.11587294,0.002176819
0.115885286,0.002177416
0.116278387,0.002187726
0.116645583,0.002195142
0.116669861,0.002199492
0.116763026,0.002209823
0.116896545,0.002212076
0.116903082,0.002233387
0.117062387,0.002239755
0.117118817,0.002241583
0.117642077,0.002246012
0.117993354,0.002282165
0.11846714,0.002282892
0.118826535,0.002295445
0.118860642,0.002301872
0.119105583,0.002321248
0.11910603,0.002322576
0.119457518,0.002327481
0.120458432,0.00232837
0.121484794,0.002344187
0.121857952,0.002348166
0.122530045,0.002355671
0.122992694,0.002368717
0.123484867,0.002373953
0.124306247,0.002373979
0.124696346,0.00237722
0.125094726,0.002389417
0.126154435,0.002393798
0.126425378,0.002408793
0.127412186,0.002419052
0.127708982,0.002426321
0.128115332,0.002429461
0.128595775,0.002434983
0.128632827,0.002457126
0.129293331,0.002471619
0.129619456,0.002486976
0.12972078,0.002491261
0.130309934,0.002496927
0.13166019,0.002499469
0.13168829,0.002499744
0.131882816,0.00250202
0.131882896,0.00251291
0.13201724,0.002529206
0.132087842,0.002535531
0.132182602,0.002536419
0.132201732,0.002551479
0.13242809,0.002553148
0.132525493,0.00256339
0.13278187,0.002575874
0.132998376,0.00258292
0.13313892,0.002588174
0.133463837,0.002610973
0.133602876,0.00263133
0.134156169,0.002636899
0.135200753,0.002639448
0.135284743,0.002644129
0.135309372,0.002664741
0.136936448,0.002668317
0.137063113,0.002670384
0.137146116,0.002679442
0.137242636,0.002682634
0.137657486,0.00268733
0.137779236,0.002690733
0.138116108,0.00269393
0.138125116,0.002697661
0.138966789,0.002741238
0.138975034,0.002742748
0.139831575,0.002748626
0.140137845,0.002757247
0.140214473,0.00277498
0.14052797,0.002777435
0.140579929,0.002804974
0.140847013,0.002807424
0.140933328,0.002816773
0.14129961,0.002855756
0.14145375,0.002864443
0.141472321,0.002879619
0.141608144,0.002885304
0.141868483,0.002889763
0.141919662,0.002908158
0.142105224,0.002911981
0.142616875,0.002921625
0.142970037,0.002939188
0.143852836,0.002964716
0.144975637,0.002969185
0.144993372,0.002971211
0.14577364,0.0029835
0.146103281,0.002984254
0.146169982,0.00299812
0.146224444,0.003000404
0.146677217,0.003023171
0.147336314,0.003045287
0.147637226,0.00305331
0.148647208,0.003062596
0.148735991,0.003118005
0.148774262,0.003125909
0.149538459,0.003177339
0.149552251,0.003183835
0.149774107,0.003210944
0.150000773,0.003232553
0.150849815,0.003234714
0.151002643,0.003274359
0.151372326,0.003281857
0.152681251,0.003293303
0.152713048,0.00330439
0.153295105,0.003311822
0.153436547,0.003313311
0.153542805,0.003314624
0.154130169,0.003320148
0.154261652,0.003324289
0.154308318,0.003329542
0.154681503,0.003339983
0.154934903,0.003346522
0.155425655,0.003357767
0.155651112,0.003360058
0.156019643,0.003379536
0.156516307,0.003426091
0.15653619,0.003442769
0.156627585,0.003473209
0.156682186,0.003497107
0.156977771,0.003514215
0.158044041,0.003528928
0.158130754,0.003537087
0.158886943,0.003551916
0.159065544,0.00358358
0.159265788,0.003605791
0.159474372,0.003607098
0.159630624,0.003646824
0.159775366,0.003710142
0.159789481,0.003735357
0.159940859,0.003743507
0.160081272,0.003745376
0.16014839,0.003747295
0.160152949,0.003772011
0.160354573,0.003780308
0.160381748,0.003790233
0.16038572,0.003839203
0.160625078,0.00385093
0.161554505,0.003851753
0.161761277,0.003869203
0.161950221,0.003870938
0.162426381,0.003879345
0.162698917,0.003918315
0.162945248,0.003937219
0.163664494,0.003944673
0.164696814,0.003953137
0.164865696,0.00396947
0.165133361,0.003971298
0.165517993,0.003973353
0.165627877,0.003993021
0.165660339,0.004002128
0.166605599,0.004010049
0.166630674,0.00402423
0.167738764,0.004034648
0.167913835,0.004041735
0.168158681,0.004044385
0.168192198,0.004066716
0.168643921,0.004079048
0.168844246,0.004092447
0.168891327,0.004093558
0.169018779,0.004139129
0.169271723,0.004189776
0.169711285,0.004213977
0.169871694,0.004225429
0.17284054,0.004250151
0.17300957,0.004299762
0.173244303,0.004332711
0.173338794,0.004355396
0.173437394,0.004361746
0.17347876,0.004367424
0.173625407,0.004388617
0.1739939,0.004389485
0.174120771,0.004399116
0.17455826,0.004414165
0.175615597,0.004416845
0.175616288,0.004430476
0.175788945,0.004444049
0.175923227,0.004455603
0.17631917,0.004484501
0.176386144,0.0044863
0.176485347,0.00449808
0.176487893,0.004508169
0.177155269,0.004510363
0.177189374,0.004540439
0.177299972,0.004547629
0.177470284,0.004599921
0.177610034,0.004620073
0.17837602,0.004623453
0.178513756,0.004627184
0.178734289,0.004629774
0.178751728,0.004687395
0.178996762,0.004710788
0.179123302,0.004713018
0.179569098,0.004731204
0.180057931,0.004732338
0.180230172,0.004735073
0.180316592,0.004735888
0.181567993,0.004762337
0.182038697,0.004762998
0.183271748,0.004768591
0.183309501,0.004809876
0.183661358,0.004815182
0.183723264,0.004819456
0.184165623,0.004836438
0.184305373,0.004860952
0.184722758,0.004862812
0.184933006,0.004871756
0.185598226,0.00488915
0.185848365,0.00489074
0.186166066,0.004900362
0.186256703,0.00492731
0.186420751,0.004936149
0.186432473,0.004960033
0.186565617,0.004984043
0.187887931,0.005000869
0.188519999,0.005015007
0.188631179,0.005041714
0.188885651,0.005047884
0.189080739,0.005095365
0.189176708,0.005121721
0.192254614,0.005141194
0.192496364,0.005149507
0.192890484,0.005179234
0.19304746,0.005205395
0.193455673,0.005216606
0.193842264,0.005220229
0.194320535,0.005222538
0.194777237,0.005232185
0.194941143,0.005247767
0.195116647,0.005250322
0.195627384,0.005263621
0.19587718,0.005275252
0.196177352,0.00527715
0.196325616,0.005282563
0.196341563,0.005287219
0.196362188,0.005294358
0.196574093,0.005310142
0.196590586,0.005318857
0.19705628,0.005357687
0.197120624,0.005391259
0.198316464,0.005409572
0.198403363,0.005429212
0.198441932,0.005444056
0.198964192,0.005456319
0.199097984,0.005456503
0.19910755,0.005490131
0.199109137,0.005496815
0.199519291,0.005523055
0.200214217,0.005525227
0.200693036,0.005531765
0.20073584,0.005542133
0.20074287,0.005552276
0.201060146,0.005579422
0.201579752,0.005600582
0.201732681,0.005720453
0.201752615,0.00580808
0.202048611,0.005813934
0.202461886,0.005820482
0.202645502,0.005837274
0.202761601,0.005854459
0.20350897,0.005869121
0.204338275,0.005877454
0.204812399,0.005911127
0.204948563,0.005913213
0.204961422,0.0059192
0.206303446,0.005929104
0.206431094,0.00593416
0.206483567,0.005992545
0.206847508,0.006012882
0.207746619,0.006046251
0.208850444,0.006054255
0.208926499,0.006081022
0.20932231,0.006134129
0.209442507,0.006162611
0.209446005,0.006204543
0.209677436,0.006206536
0.209843011,0.006224898
0.210604018,0.006227664
0.21067529,0.006282402
0.210791109,0.006282754
0.210876136,0.006288845
0.211135322,0.00629372
0.211196803,0.00629836
0.211271998,0.006299032
0.211781235,0.006302636
0.212415129,0.006309644
0.212702744,0.006310273
0.213135401,0.006318623
0.21346278,0.006323222
0.213611455,0.006326592
0.214522314,0.006390267
0.21505666,0.006390317
0.215425047,0.006395178
0.215671965,0.006399945
0.216028107,0.006401561
0.216289358,0.006403126
0.216861416,0.006422791
0.216876484,0.006445992
0.217064989,0.006456675
0.217140902,0.006461645
0.217159801,0.00647003
0.217304388,0.006539254
0.217309965,0.006545185
0.217529482,0.006551763
0.218193145,0.00655901
0.218621638,0.00660615
0.218680128,0.006655509
0.219408657,0.006681553
0.219719093,0.006681915
0.220298277,0.006713807
0.221528139,0.00671482
0.22171428,0.006715707
0.221734007,0.006722184
0.222036554,0.006729934
0.222233315,0.006731654
0.222478293,0.006748239
0.222707155,0.006750948
0.223317079,0.006753915
0.223423461,0.006762059
0.22373502,0.006769307
0.223866787,0.006784031
0.224105264,0.006785461
0.224516549,0.006812679
0.224933853,0.00682134
0.225262455,0.006848339
0.225781368,0.006909884
0.226065085,0.006927103
0.226315442,0.006950091
0.226494356,0.00695929
0.226675343,0.006963148
0.226956216,0.006976044
0.228528393,0.007013186
0.228583028,0.007016361
0.228592451,0.007130813
0.228911218,0.007135776
0.228970265,0.007195367
0.229043449,0.007209338
0.229166225,0.007213493
0.2295093,0.007251129
0.229854625,0.0072513
0.230190366,0.007290291
0.230683904,0.00731207
0.23095039,0.007324635
0.231046826,0.00732469
0.231621628,0.007324882
0.231935267,0.007342932
0.231950964,0.007348809
0.232187059,0.007349422
0.232735621,0.007363263
0.233067206,0.007373027
0.23311045,0.007383286
0.233784481,0.00741089
